Sketch: C:\Users\DiogoTito\Processing_Sketches\Bells_Game, 2013-12-29 18:05:52.931
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
ParameterMismatch,{processing.core.PApplet| sq| float| float, int, int, float, float},The method sq(float) in the type PApplet is not applicable for the arguments (float^ int^ int^ float^ float)
ShouldReturnValue,{processing.core.PGraphics},This method must return a result of type PGraphics
UnresolvedVariable,{cePLAYER_SIZE},cePLAYER_SIZE cannot be resolved to a variable
UnresolvedVariable,{crea},crea cannot be resolved to a variable
UnresolvedVariable,{create},create cannot be resolved to a variable
UnresolvedVariable,{createGr},createGr cannot be resolved to a variable
UnresolvedVariable,{createGra},createGra cannot be resolved to a variable
UnresolvedVariable,{createGraphi},createGraphi cannot be resolved to a variable
UndefinedField,{fPLAYER_SIZE},fPLAYER_SIZE cannot be resolved or is not a field
UndefinedField,{flPLAYER_SIZE},flPLAYER_SIZE cannot be resolved or is not a field
UnresolvedVariable,{m},m cannot be resolved to a variable
UnresolvedVariable,{nNUM_BALLS},nNUM_BALLS cannot be resolved to a variable
UnresolvedVariable,{nor},nor cannot be resolved to a variable
UnresolvedVariable,{norm},norm cannot be resolved to a variable
UnresolvedVariable,{nu},nu cannot be resolved to a variable
UndefinedField,{playerGraphics},playerGraphics cannot be resolved or is not a field
UnresolvedVariable,{ra},ra cannot be resolved to a variable
