Sketch: C:\Users\DiogoTito\Processing_Sketches\Primes_Spiral, 2014-01-31 22:55:07.888
Comma in error msg is substituted with ^ symbol
For separating arguments in error args | symbol is used
ERROR TYPE, ERROR ARGS, ERROR MSG
ParameterMismatch,{processing.core.PApplet| rect| float, float, float, float| int, int, float},The method rect(float^ float^ float^ float) in the type PApplet is not applicable for the arguments (int^ int^ float)
UndefinedMethod,{Primes_Spiral.Primes_Spiral| sa| },The method sa() is undefined for the type Primes_Spiral
ParameterMismatch,{processing.core.PApplet| save| java.lang.String| },The method save(String) in the type PApplet is not applicable for the arguments ()
UndefinedMethod,{Primes_Spiral.Primes_Spiral| saveF| },The method saveF() is undefined for the type Primes_Spiral
ParameterMismatch,{processing.core.PApplet| textWidth| char| },The method textWidth(char) in the type PApplet is not applicable for the arguments ()
ParameterMismatch,{processing.core.PApplet| textWidth| char| int},The method textWidth(char) in the type PApplet is not applicable for the arguments (int)
UndefinedMethod,{java.lang.Integer| toS| int},The method toS(int) is undefined for the type Integer
ParameterMismatch,{java.awt.Component| toString| | int},The method toString() in the type Component is not applicable for the arguments (int)
InvalidOperator,{||| boolean, int},The operator || is undefined for the argument type(s) boolean^ int
NoFieldOnBaseType,{int| currentNumber| to},The primitive type int of currentNumber does not have a field to
NoFieldOnBaseType,{int| currentNumber| toS},The primitive type int of currentNumber does not have a field toS
NoFieldOnBaseType,{int| currentNumber| toStrin},The primitive type int of currentNumber does not have a field toStrin
TypeMismatch,{processing.core.PVector| int},Type mismatch: cannot convert from PVector to int
UnresolvedVariable,{cu},cu cannot be resolved to a variable
UnresolvedVariable,{current},current cannot be resolved to a variable
UnresolvedVariable,{currentNu},currentNu cannot be resolved to a variable
UnresolvedVariable,{s},s cannot be resolved to a variable
UnresolvedVariable,{sideDir},sideDir cannot be resolved to a variable
UnresolvedVariable,{sideDirectio},sideDirectio cannot be resolved to a variable
UndefinedField,{tocurrentNumber},tocurrentNumber cannot be resolved or is not a field
UnresolvedVariable,{tocurrentNumber},tocurrentNumber cannot be resolved to a variable
UnresolvedVariable,{toscurrentNumber},toscurrentNumber cannot be resolved to a variable
